,measure,value,value,value,value,value,value,value,value,value,value,value,value,value
1,q,20,60,100,140,180,220,260,300,340,380,420,460,500
2,avg.loss.mu.est.true.oracle,0.0002288314,0.000026032,1.00008950092061E-05,5.22809770440698E-06,3.15360879836014E-06,2.07544693750191E-06,1.47716306920297E-06,1.18340127543442E-06,8.82215365464493E-07,7.25402453427397E-07,5.98410502159234E-07,4.93128057648015E-07,3.88416179795339E-07
3,avg.loss.mu.est.sample.mean,0.5526721524,0.5525308352,0.5492928512,0.5497601801,0.5477687254,0.5488617201,0.5487909698,0.5519084987,0.5501683968,0.5481758761,0.5512742015,0.5512005869,0.5507266388
4,avg.loss.mu.est.EBMLE,0.0968213151,0.0833987295,0.082486984,0.0821773227,0.0803928912,0.0797301459,0.0789455643,0.0798120101,0.0786340741,0.0796322664,0.0783386441,0.078534314,0.0789429148
5,avg.loss.mu.est.EBMOM,0.1150443807,0.0900596137,0.0822328452,0.0811542477,0.079289011,0.0786937622,0.0777193955,0.0782650231,0.0773162063,0.0780077394,0.0767390661,0.0769079175,0.077296112
6,avg.loss.mu.est.JS,0.1111487383,0.0879543301,0.0858288517,0.0846589515,0.0830044293,0.0822377633,0.0814419567,0.0823284507,0.0812081936,0.0818877759,0.0806427636,0.0807786735,0.0812768014
7,avg.loss.mu.est.oracle,0.0514264466,0.0529609523,0.0531496703,0.0535850651,0.0536123579,0.0537372788,0.0538030887,0.0537939415,0.0538475609,0.0535959538,0.0538774137,0.0538079521,0.0537828725
8,avg.loss.mu.est.SURE.G,0.0878737198,0.066363157,0.0619187424,0.0607684273,0.0592948903,0.0586541759,0.0580496372,0.0578480684,0.057524562,0.0573608272,0.056992961,0.0569311983,0.0568594153
9,avg.loss.mu.est.SURE.M,0.0890680235,0.067093624,0.0619904283,0.0604700714,0.0589181779,0.0581113545,0.0575339202,0.0569113148,0.0568171867,0.0562542442,0.0560658113,0.0559118295,0.0557010133
10,avg.loss.mu.est.SURE.SG,0.0955173222,0.0700467931,0.0638819149,0.0617982523,0.059841066,0.0589702162,0.0579439206,0.0577537593,0.0570290615,0.0567971239,0.0562063936,0.0560323752,0.0559329466
11,avg.loss.mu.est.SURE.SM,0.1157509963,0.0743463385,0.0645684612,0.0612704036,0.0588731831,0.0575995436,0.0568774636,0.0556563779,0.0553056146,0.0543803573,0.0541519359,0.0538402741,0.0534498613
12,avg.loss.mu.est.gl,0.1249228993,0.0538650205,0.0367323692,0.0304875417,0.0244443856,0.0222372207,0.0194487061,0.0173709339,0.0156321635,0.0148349416,0.0137594273,0.0126627201,0.0119522248
13,avg.loss.mu.est.gl.SURE,0.1426847574,0.0629614548,0.0453646985,0.0369617829,0.0314777081,0.0274488934,0.0245690914,0.0214977601,0.0199207625,0.0185362781,0.0168882652,0.0158733574,0.0145742703
14,avg.loss.mu.est.gl.dynamic,0.1807565476,0.1256361718,0.1043707963,0.0957846323,0.0893870986,0.0841869929,0.0816762661,0.079901682,0.0780338135,0.0766940851,0.0746940777,0.0737716351,0.0729261179
15,avg.loss.mu.est.gl.dynamicMin,0.1741012031,0.1125213601,0.0993633976,0.0928545769,0.0891424645,0.0844153753,0.0826155261,0.0821747042,0.0806441169,0.0786162532,0.0780810648,0.0764674511,0.0760381052
16,avg.loss.mu.est.gl.dynamicMin2,0.1487211875,0.1031578935,0.0932003104,0.0874002218,0.0835416819,0.0795814076,0.0782844117,0.0773015441,0.0763157663,0.0743553798,0.0742033572,0.0729964702,0.0728773979
17,avg.loss.mu.est.gl.dynamicMin3,0.1418387745,0.0959802754,0.0877448362,0.0821730693,0.0795287136,0.0763908343,0.0753259544,0.0740763652,0.0736561633,0.0719475752,0.0715100481,0.0706511001,0.0703569472
18,avg.loss.mu.est.DPMM_ng,0.1266746133,0.0856302508,0.0659168612,0.0565976571,0.050028571,0.046037126,0.0426974763,0.0406768594,0.0382356911,0.036675703,0.0352300703,0.0341657492,0.033310517
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
